,Tweets,len,ID,Date,Source,Likes,RT
0,"RT @zeerajasthan_: #दिल्ली में कोरोना वायरस की वजह से CRPF मुख्यालय सील !

@crpfindia @PMOIndia @narendramodi @AmitShah @drharshvardhan #In…",140,1256901514385375233,2020-05-03 11:00:47,Twitter for Android,0,1
1,"RT @zeerajasthan_: #Jaipur। कोरोना संक्रमण के दौरान स्वास्थ्य विभाग की बड़ी पहल 

@RaghusharmaINC @rohitksingh @ashokgehlot51 @Rajendra4BJP…",140,1256901481745317894,2020-05-03 11:00:40,Twitter for Android,0,3
2,"RT @zeerajasthan_: #CoronaUpdate । राजस्थान में कोरोना पॉजिटिव मरीजों की संख्या 2,832 हुई

@RaghusharmaINC @ashokgehlot51 @rohitksingh @Zee…",140,1256901463265198080,2020-05-03 11:00:35,Twitter for Android,0,2
3,RT @KrishnaveniA7: Salute to our real heroes! #coronavirusindia #TelanganaFightsCorona #GandhiHospital https://t.co/kE8fzGce2h,126,1256901401176727552,2020-05-03 11:00:20,Twitter for Android,0,1
4,RT @DharaviBoys: @STEPHEN_I_Am_ Sir! We are sure your good deed will encourage others to do the same. Even if they are unable to reach out…,139,1256901337289236480,2020-05-03 11:00:05,Tweet Good,0,1
5,"RT @MusafirNamah: #coronavirusindia Coronavirus confirmed cases 
in India now 39,980, death toll at 1301. 10,633 are recovered, while 28,04…",140,1256901336538505216,2020-05-03 11:00:05,Tweet Good,0,1
6,"RT @Anand80442391: Tentats dont listen, always going out no mask also invite guest, we are senior citizens family from age 80(diabetes BP)…",139,1256901335833890816,2020-05-03 11:00:05,Tweet Good,0,1
7,RT @MusafirNamah: #coronavirusindia Philippines barred incoming passenger flights from Sunday morning for one week  #CoronaVirus #Covid19 #…,140,1256901335070408705,2020-05-03 11:00:05,Tweet Good,0,1
8,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256901279953059841,2020-05-03 10:59:51,Twitter Web App,0,83
9,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256901224022126593,2020-05-03 10:59:38,Twitter for Android,0,83
10,RT @siddaramaiah: ಪ್ರಾರಂಭಿಕ ಮುಂಗಾರು ಮಳೆಯಿಂದ ಉತ್ತೇಜಿತರಾಗಿರುವ ರೈತರು ಕೊರೊನಾ ಮಾರಿಯ ಹಿನ್ನಡೆಯನ್ನು ಮರೆತು ಕೃಷಿ ಚಟುವಟಿಕೆ ಪ್ರಾರಂಭಿಸುವ ಉತ್ಸಾಹದಲ್ಲಿದ್ದಾ…,140,1256901216711274496,2020-05-03 10:59:36,Twitter for Android,0,61
11,"RT @cgmum1: #COVID19
#CoronavirusIndia
#ArgentinaCOVID19
#ArgenntinainIndia
#tourismargentina 
#travelargentina https://t.co/4cEEAEx4hx",135,1256901184159232001,2020-05-03 10:59:29,Twitter Web App,0,1
12,"Armed forces pay tribute to corona warriors as helicopters fly past hospitals.

#TV9News #CoronaWarriors… https://t.co/kYUioUI2G7",129,1256901067788468224,2020-05-03 10:59:01,Twitter Media Studio - LiveCut,8,1
13,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256900992676716545,2020-05-03 10:58:43,Twitter for Android,0,83
14,"चार राज्यों के प्रवासी अटके, सहमति के लिए सम्पर्क में सरकार
#patrikaCoronaTRUTHs #patrikaCoronaLATEST… https://t.co/PgQZT9cy1v",126,1256900937903493120,2020-05-03 10:58:30,Twitter Web App,4,0
15,"கொரோனா வைரஸ் தாக்குதல் 2022 வரை தொடரும் – அமெரிக்க பல்கலைக்கழகம்
#Corona  #Coronavirus   #WorldWideCoronaVirus, ,… https://t.co/YFv75NodZY",138,1256900679563538432,2020-05-03 10:57:28,Twitter Web Client,0,0
16,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256900670952804352,2020-05-03 10:57:26,Twitter for Android,0,83
17,"RT @AnsuPHP: @CNBC Why drag India into it ? #Hinduphobia 

India did not create this crisis . #coronavirusindia

And why praise #China ? 
F…",140,1256900198497873920,2020-05-03 10:55:34,Twitter for Android,0,54
18,"RT @rpbreakingnews: अब 220 रुपए मिलेगी एक दिन की मजदूरी, नरेगा कार्यों पर हर रोज मिलने लगा काम  

#patrikaCoronaTRUTHs #patrikaCoronaLATEST…",140,1256900187118809088,2020-05-03 10:55:31,Twitter for Android,0,14
19,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256900004964425729,2020-05-03 10:54:47,Twitter for Android,0,83
20,"RT @rameshlaus: 40,000 - #CoronavirusIndia Total cases as of now..",66,1256899776571793408,2020-05-03 10:53:53,Twitter for iPhone,0,52
21,"#Lockdown3.0

शाळा कॉलेज हे जीवनावश्यक नाही....
म्हणुन ते बंदच राहणार...
.
.
सालं आता कळलं आयुष्यातली किती वर्ष उगा… https://t.co/I4spLb1SgU",140,1256899667343933441,2020-05-03 10:53:27,Twitter for Android,0,0
22,"RT @zeerajasthan_: #CoronaUpdate । राजस्थान में कोरोना पॉजिटिव मरीजों की संख्या 2,832 हुई

@RaghusharmaINC @ashokgehlot51 @rohitksingh @Zee…",140,1256899225385930753,2020-05-03 10:51:42,Twitter for iPhone,0,2
23,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256899177302437888,2020-05-03 10:51:30,Twitter for iPhone,0,83
24,"RT @rpbreakingnews: लॉक डाउन 3 : किसान को लेकर आई एक और बड़ी खबर, नहीं होगी अब इस चीज की समस्या
#patrikaCoronaTRUTHs #patrikaCoronaLATEST…",138,1256899066643898371,2020-05-03 10:51:04,Twitter for Android,0,4
25,"RT @rpbreakingnews: राजस्थान का पहला कोरोना मरीज इस तरह से बचाएगा दूसरों की जान
#patrikaCoronaTRUTHs #patrikaCoronaLATEST  #coronavirusindi…",140,1256899024394698752,2020-05-03 10:50:54,Twitter for Android,0,4
26,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256899016803127296,2020-05-03 10:50:52,Twitter for Android,0,83
27,"RT @Zebaism: My Report: While Indians Stranded Abroad Pay Nothing for Evacuation, It Costs Migrant Workers to Return Home

Wish the same co…",140,1256898962205925376,2020-05-03 10:50:39,Twitter for Android,0,304
28,"RT @rpbreakingnews: राजस्थान में यहाँ गुटखा, बीड़ी, सिगरेट की नहीं होगी बिक्री, फल-सब्जी ठेलों वालों की होगी जांच
#patrikaCoronaTRUTHs #pat…",140,1256898941993357312,2020-05-03 10:50:34,Twitter for Android,0,4
